,PC1,
Fbxo34,0.021030063,
Atxn1,0.021006392,
Il1r1,0.020963265,
Abcb1a,0.020963015,
Slc25a5,0.020815546,
4833439L19Rik,0.020809376,
Mgat4a,0.020765921,
Flad1,0.02073524,
Tbc1d17,0.020598485,
Lpin2,0.020501909,
Mfn2,0.020475256,
Jchain,0.020441994,
Txnrd1,0.020375414,
Tufm,0.020321433,
Oaz2,0.020169241,
Gpi1,0.02011356,
Rora,0.020052101,
Lrrc59,0.020019951,
Blmh,0.019829775,
Stmn1,0.019711052,
Rrm1,0.019648687,
Relb,0.019561808,
Hmga1,0.019552208,
Gps1,0.019345078,
Csrp1,0.019280701,
Spry1,0.019227349,
Lmf2,0.01920884,
Pmf1,0.019079288,
Dusp5,0.01902234,
Zdhhc4,0.018999609,
Ncstn,0.018767991,
Lamp1,0.018601965,
Maf,0.01846631,
Capn2,0.018233231,
Zfp36l1,0.018153723,
Ptger4,0.018100749,
Ahr,0.01787711,
Crip1,0.017818182,
Insig1,0.017656072,
Acd,0.017637601,
Cd83,0.017597002,
Trib1,0.017477054,
Il12rb1,0.017454576,
Fam111a,0.017354053,
Crip2,0.017122572,
Il23r,0.016991417,
Ptpre,0.016946341,
Plaat3,0.016928977,
Tsc2,0.016756397,
Pik3cg,0.016353143,
Anxa5,0.016269181,
Dut,0.01602728,
Adgre5,0.015420498,
Got1,0.015293437,
Cldnd1,0.015096111,
Fasl,0.014979556,
Cyp51,0.014955262,
Arhgap26,0.014923705,
Tm9sf4,0.014774744,
Zadh2,0.014740588,
Nfkbid,0.014345803,
Rab4a,0.014234553,
Tbcc,0.014224238,
Plaur,0.014179177,
Cd2bp2,0.01412371,
Tspan31,0.014021491,
Plk3,0.013909822,
Snx17,0.013655415,
Tmub1,0.013461214,
Fut8,0.013366979,
Adi1,0.013332327,
Dctn1,0.013203917,
Tmem154,0.013161027,
Tigit,0.013126328,
Maz,0.012324723,
S100a10,0.012199087,
Tyk2,0.012039944,
Vopp1,0.012002008,
Serinc3,0.01191533,
Sla,0.011564399,
Zdhhc7,0.011466481,
Micu2,0.011269803,
Tk2,0.011016676,
Nr1d2,0.010961503,
Rcbtb2,0.01096056,
Cirbp,0.010835815,
Abtb1,0.010781499,
Lpxn,0.010725263,
Abhd14a,0.010674088,
Wsb1,0.010207915,
Pea15a,0.010197927,
Sphk2,0.010001037,
Fbxw5,0.009848202,
Gne,0.009628957,
Psmd3,0.00946691,
Neu1,0.009311619,
Foxo3,0.009244327,
Ube2e3,0.009222245,
Ndrg1,0.009031338,
Rce1,0.008992572,
Lyst,0.008952949,
Ctsc,0.008932141,
F2r,0.008766684,
Psmb10,0.008500239,
Zfp574,0.008432792,
Snx14,0.008413548,
Ptger2,0.008354202,
Batf,0.008316596,
Nde1,0.008294698,
Isg20,0.008287635,
Bsdc1,0.008257338,
Errfi1,0.00815966,
Zbtb17,0.008059326,
Cd72,0.007662711,
Ifnar2,0.007566113,
Cxcr6,0.007462323,
Amfr,0.007248762,
Sqle,0.007178362,
Il2ra,0.007117894,
Tmem64,0.006976907,
Fam53c,0.006853133,
Rnf10,0.006831771,
Nubp2,0.006806216,
Ttc39b,0.006475378,
Map7d1,0.006291377,
Pfkp,0.006030573,
Crot,0.005999326,
Arfgap1,0.005987982,
Psmf1,0.005957348,
Orai1,0.005811955,
Rassf3,0.005749368,
Peak1,0.00555312,
Egr1,0.005508527,
Far1,0.005363179,
Sipa1,0.005360912,
Mical1,0.005354058,
Rac1,0.004993963,
Apeh,0.004865925,
Hdac1,0.004802184,
Nkg7,0.004708798,
Mgat2,0.00462985,
Atg2a,0.004300798,
Coro7,0.004276597,
Mcm6,0.003907931,
Rabac1,0.003845946,
Prkcsh,0.003831837,
Vps11,0.003822461,
Flot2,0.003781666,
Parp1,0.00377415,
Nbeal2,0.003563323,
Nr4a2,0.003312605,
C9orf72,0.003143828,
Cdk6,0.002759895,
Zbtb38,0.002703757,
Tatdn2,0.002621599,
Ptpn18,0.002521127,
Atp2b1,0.00247593,
Atg4b,0.002426712,
Cst7,0.002192113,
Med25,0.002162439,
Ccnd3,0.002131903,
Nr4a1,0.00200738,
Eml3,0.001364759,
Smad3,0.001360348,
Gab3,0.001347501,
Nudt16l1,0.001249367,
Sh2b1,0.001166134,
Hcst,0.00095787,
Rps21,0.000767674,
Dusp4,0.000491713,
Sorl1,0.000164836,
Ppm1d,0.000120268,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
