,CD161neg 1,CD161neg 2,CD161neg 3,CD161int 1,CD161int 2,CD161int 3,CD161hi 1,CD161hi 2,CD161hi 3,DP1,DP2,DP3,,,,CD161neg 1,CD161neg 2,CD161neg 3,CD161int 1,CD161int 2,CD161int 3,CD161hi 1,CD161hi 2,CD161hi 3,DP1,DP2,DP3
DYRK3,0.379613963,0.019003036,-0.104005544,-0.923723562,-0.459964751,-1.07722275,0.670681279,0.587959603,0.028434715,0.534532319,0.10678274,0.237908953,,,,0.432759918,0.021663461,-0.11856632,-1.053044861,-0.524359816,-1.228033935,0.764576658,0.670273947,0.032415575,0.609366844,0.121732324,0.271216206
CDKN1A,0.049960377,-0.197155102,-0.386208736,-1.112208244,-0.648985442,-0.273096491,0.548712766,0.562031003,0.002190209,0.605132324,0.372209384,0.477417952,,,,0.05695483,-0.224756816,-0.440277959,-1.267917398,-0.739843404,-0.31133,0.625532553,0.640715343,0.002496838,0.689850849,0.424318698,0.544256465
SMAD7,-0.20379807,-0.26780059,-0.303684347,-0.562254629,-0.473119261,-0.484256643,0.496482223,0.577091943,-0.102643421,0.631935768,0.194582552,0.497464475,,,,-0.2323298,-0.305292673,-0.346200156,-0.640970277,-0.539355958,-0.552052573,0.565989734,0.657884815,-0.1170135,0.720406776,0.221824109,0.567109502
ID2,-0.773782499,-0.834079966,-0.559301245,-0.871570965,-0.060721946,-0.143616153,0.314389002,0.59337076,0.053303911,0.609118858,0.933218563,0.73967168,,,,-0.882112049,-0.950851161,-0.637603419,-0.9935909,-0.069223018,-0.163722414,0.358403462,0.676442666,0.060766459,0.694395498,1.063869162,0.843225715
ERN1,-0.324936503,-0.423767916,-0.458787713,-0.491239182,-0.150526224,-0.231137256,0.362486492,0.400933356,0.309840939,0.316334988,0.680821536,0.009977481,,,,-0.370427613,-0.483095424,-0.523017993,-0.560012667,-0.171599895,-0.263496472,0.413234601,0.457064026,0.35321867,0.360621886,0.776136551,0.011374328
RORA,-0.71801623,-0.566996829,-0.529074138,-0.274732206,-0.265335183,-0.294062616,0.692098363,0.196251455,0.383547792,0.513093947,0.760093297,0.103132349,,,,-0.818538502,-0.646376385,-0.603144517,-0.313194715,-0.302482109,-0.335231382,0.788992134,0.223726659,0.437244483,0.5849271,0.866506359,0.117570878
LMO4,-0.756821681,-0.487004835,0.236586458,-0.636189834,0.002963863,-0.03972127,0.737137539,0.522788378,-0.187240219,-0.088290568,0.359929584,0.335862586,,,,-0.862776716,-0.555185512,0.269708562,-0.725256411,0.003378804,-0.045282248,0.840336794,0.595978751,-0.21345385,-0.100651248,0.410319726,0.382883348
BLMH,-0.319045348,-0.600113738,-0.563147204,-0.660589073,0.094845518,-0.365924082,0.345913591,0.559886878,0.199959219,0.247329101,0.355113735,0.705771402,,,,-0.363711697,-0.684129661,-0.641987813,-0.753071543,0.108123891,-0.417153453,0.394341494,0.638271041,0.22795351,0.281955175,0.404829658,0.804579398
XPNPEP1,-0.397862198,-0.571821252,-0.401884927,-0.092202514,-0.109941549,-0.502357478,0.351492216,0.420312467,0.23836541,-0.084920024,0.32378258,0.827037269,,,,-0.453562906,-0.651876227,-0.458148817,-0.105110866,-0.125333366,-0.572687525,0.400701126,0.479156212,0.271736567,-0.096808827,0.369112141,0.942822487
ATF3,-0.548800947,-0.340607939,-0.688871662,-0.951470969,-0.593247624,-0.56319725,0.446415657,0.353690722,0.070249641,1.412332433,0.616668619,0.786839319,,,,-0.62563308,-0.38829305,-0.785313695,-1.084676905,-0.676302291,-0.642044865,0.508913849,0.403207423,0.080084591,1.610058974,0.703002226,0.896996824
MYBL1,-1.027134424,-0.644018993,-0.972169351,-0.313446364,-0.286590711,-0.33542552,0.450769806,0.38142982,0.394614839,1.275607668,0.632907912,0.443455318,,,,-1.170933243,-0.734181652,-1.10827306,-0.357328855,-0.326713411,-0.382385093,0.513877579,0.434829995,0.449860916,1.454192742,0.72151502,0.505539063
IL4I1,-0.811431377,-0.544759088,-0.508807399,-0.542584366,-0.244964878,-0.147221199,0.306670293,0.075664624,0.510861375,0.967082061,0.656230687,0.283259268,,,,-0.92503177,-0.62102536,-0.580040435,-0.618546177,-0.279259961,-0.167832167,0.349604134,0.086257671,0.582381968,1.10247355,0.748102983,0.322915566
PDE4D,-0.551102343,-0.426718693,-0.718825924,-0.51237216,-0.042893015,-0.513827055,0.605895745,0.23610634,0.444261119,0.92975392,0.35092491,0.198797156,,,,-0.628256671,-0.48645931,-0.819461553,-0.584104262,-0.048898037,-0.585762843,0.690721149,0.269161228,0.506457676,1.059919469,0.400054397,0.226628758
IL23R,-0.685551293,-1.227020145,-0.62673812,-0.066742272,0.3402055,-0.700757737,0.452249157,0.061442705,0.466805228,1.234132109,0.594182542,0.157792325,,,,-0.781528474,-1.398802965,-0.714481457,-0.07608619,0.38783427,-0.79886382,0.515564039,0.070044684,0.53215796,1.406910604,0.677368098,0.179883251
MKNK1,-0.458649494,-0.798090729,-0.724798799,-0.549564411,0.22446791,-0.447959245,0.100898643,-0.185813979,0.897849153,0.722170131,0.507797526,0.711693293,,,,-0.522860423,-0.909823431,-0.826270631,-0.626503429,0.255893417,-0.510673539,0.115024453,-0.211827936,1.023548034,0.823273949,0.57888918,0.811330354
TTC39C-AS1,-0.424572683,-0.801892376,-0.627359814,-0.316547444,0.363789694,-0.090561799,0.322048079,0.086397265,0.609665593,0.693329073,0.067444752,0.118259659,,,,-0.484012859,-0.914157309,-0.715190188,-0.360864086,0.414720251,-0.103240451,0.36713481,0.098492882,0.695018776,0.790395143,0.076887017,0.134816011
S100A4,-0.148711568,-0.84040474,0.355904666,-0.640253649,0.897352048,0.848350331,-0.399315666,-0.101080212,0.032276813,-0.273446882,0.8907953,-0.62146644,,,,-0.169531188,-0.958061404,0.405731319,-0.72988916,1.022981335,0.967119377,-0.455219859,-0.115231442,0.036795567,-0.311729445,1.015506642,-0.708471742
BHLHE40,-0.556925894,-1.26709281,-0.418914787,0.052217785,-0.183201645,-0.078909072,0.34690924,0.07455044,0.558627801,0.417782939,0.618521464,0.43643454,,,,-0.634895519,-1.444485803,-0.477562857,0.059528275,-0.208849875,-0.089956342,0.395476534,0.084987502,0.636835693,0.47627255,0.705114469,0.497535376
IFI44L,-0.603926164,-0.86972207,-0.345240202,-0.663842588,-0.555251079,-0.275529297,0.487194644,0.220667047,0.770037166,0.555783181,0.81275531,0.467074051,,,,-0.688475827,-0.99148316,-0.39357383,-0.75678055,-0.63298623,-0.314103399,0.555401894,0.251560434,0.877842369,0.633592826,0.926541053,0.532464418
