"","T.4.Nve.Fem.Sp.1","T.4.Nve.Fem.Sp.2","T.4.Nve.Sp.1","T.4.Nve.Sp.2","T.4.Sp.aCD3.CD40.18hr.1","T.4.Sp.aCD3.CD40.18hr.2","T.4.Th.1","T.4.Th.2","T.8.Nve.Sp.1","T.8.Nve.Sp.2","T.8.Th.1","T.8.Th.2","T8.IEL.LCMV.d7.Gut.1","T8.IEL.LCMV.d7.Gut.2","T8.MP.LCMV.d7.Sp.1","T8.MP.LCMV.d7.Sp.2","T8.Tcm.LCMV.d180.Sp.1","T8.Tcm.LCMV.d180.Sp.2","T8.TE.LCMV.d7.Sp.1","T8.TE.LCMV.d7.Sp.2","T8.Tem.LCMV.d180.Sp.2","T8.TN.P14.Sp.1","T8.TN.P14.Sp.2","Tgd.g1.1.d1.24a..Th.1","Tgd.g1.1.d1.24a..Th.2","Tgd.g1.1.d1.LN.1","Tgd.g1.1.d1.LN.2","Tgd.g2.d1.24a..Th.1","Tgd.g2.d1.24a..Th.2","Tgd.g2.d1.LN.1","Tgd.g2.d1.LN.2","Tgd.g2.d17.24a..Th.2","Tgd.g2.d17.LN.1","Tgd.g2.d17.LN.2","Tgd.Sp.3","Tgd.Sp.4","Treg.4.25hi.Sp.1","Treg.4.25hi.Sp.2","NKT.19.8.TCRb.CD1daGalCerTet..Sp.1","NKT.19.8.TCRb.CD1daGalCerTet..Sp.2","NKT.19.8.TCRb.CD1daGalCerTet..Sp.3","NKT.19.8.TCRb.CD1daGalCerTet..Th.1","NKT.19.8.TCRb.CD1daGalCerTet..Th.2","NKT.19.8.TCRb.CD1daGalCerTet..Th.3","NKT.19.8.TCRb.CD1daGalCerTet..Lv.1","NKT.19.8.TCRb.CD1daGalCerTet..Lv.2","NKT.19.8.TCRb.CD1daGalCerTet..Lv.3","T.4.19.8.TCRb.CD4..Sp.1","T.4.19.8.TCRb.CD4..Sp.2","mouse.CD4.R1.hisat","mouse.CD4.R3.hisat","mouse.CD4.R5.hisat","mouse.CD4.R7.hisat","mouse.CD4.R9.hisat","mouse.CbirDN.R10.hisat","mouse.CbirDN.R2.hisat","mouse.CbirDN.R4.hisat","mouse.CbirDN.R6.hisat","mouse.CbirDN.R8.hisat","mouse.DN.R1.hisat","mouse.DN.R3.hisat","mouse.DN.R5.hisat","mouse.DN.R7.hisat","mouse.DN.R9.hisat","mouse.NKT.R1.hisat","mouse.NKT.R3.hisat","mouse.NKT.R5.hisat","mouse.NKT.R7.hisat","mouse.NKT.R9.hisat","CD161int.1","CD161neg.2","CD161hi.1","CD161neg.1","CD161hiCD56pos.3","CD161hi.3","CD161hi.2","CD161int.3","CD161hiCD56pos.2","CD161neg.3","CD161hiCD56pos.1","CD161int.2"
"1600012H06Rik",-1.29279275003636,-0.829278767785978,-0.780773680454232,-1.03073816424718,-1.5959042233412,-1.45472368451541,-1.04505367963143,-0.945395824294966,-0.906538697705306,-0.902759815447839,-1.06766990177015,-1.1418512618078,-1.88137585641527,-1.41168983408721,-0.721760482955704,-1.09303226458103,-1.00847610961625,-0.684503492053854,-0.929031008269882,-0.648795095728242,-1.09229780289013,-1.1393836198378,-0.793370051518626,-1.28922517966893,-1.19596420529711,-0.982353286543319,-0.612544736572435,-1.60833902756314,-1.66349525495409,-1.12355842962981,-0.7731302957023,-0.893665378116962,-0.841857423192878,-1.05944158143524,-0.814761332712254,-0.769328420758321,-0.797417864299647,-1.18816300289185,-0.970077488637316,-0.982837584647668,-1.03275651745392,-1.35139301178551,-1.30858533230998,-1.12689034103195,-1.32328154699494,-1.02050514731082,-1.12418811496629,-0.929408231816791,-1.140473579261,-0.674720199280002,-1.53435715261672,-0.575262276781326,-1.39465819747733,-1.43214505275794,-0.743152377175024,-0.683745523987449,-1.56407575058581,-0.798934758131803,-0.595324285481039,-1.5957491064796,-1.52829739276047,-1.12767155713335,-0.804251907842707,-0.701460486760065,-1.60849620403441,-0.72016296333147,-1.62189983090113,-1.34574809053194,-1.52826586617167,-2.1857137907433,-0.484973518494304,-0.958475425829519,-0.900860808232853,-1.55161475435352,-0.883505614033111,-0.774237089155555,-0.555430174718688,-1.04071354171695,-1.32122783711867,-1.13173422027423,-0.918258502693577
"Aak1",-0.0922770117528352,0.0780539587738839,-0.0202899371750671,0.139165817686778,-0.843414653401187,-0.779465969100857,-0.0510215222635765,0.0185200871617666,-0.297655319182638,-0.164786476486621,-0.112652731050664,-0.100053334809596,0.107606172871717,0.122297774106117,-0.0896414524022308,-0.117766935700761,0.0510006706290203,-0.0835747584962624,-0.206957334951353,-0.361764756938783,0.0323129452537448,-0.14761713440081,-0.158750928801796,0.132071845549449,0.0243445386871577,0.116767509759077,0.213045702981017,0.442629153061459,0.330398182802244,0.240603155661577,0.196475245876859,0.521074828902698,0.239112020407862,0.123528083852353,0.220314689346479,0.233818489404222,-0.0921537896332322,-0.00501172513669879,0.214172999044864,0.087341140200847,0.321181813974469,0.108275141614802,0.209273170040506,0.148805462613858,0.210809408645926,0.0530753406557193,0.269205166308517,-0.277953805421594,0.0164739861212034,0.399649227127341,-0.230626387691506,-1.41415524857798,-1.23319251439475,-0.069293984409457,-0.578761980014704,-0.191090842913709,-1.47165489623525,-1.52932106594786,-0.79042371541411,-1.13689054259418,-0.957691463464056,-0.155266023618281,-0.405789107016127,-0.663385560680989,-1.53417856593438,-0.617231083306785,0.0630952362206447,-1.16434946723537,-0.113609737232065,-1.50624850578202,-0.429689047038412,-0.672635237851815,-0.626608811259113,-0.464594757908459,-1.04930996944252,-0.276901732926288,-1.95998979731244,-0.949808239921243,-0.940913506236162,0.060017549870613,-0.0263959381724798
"Abca7",0.0785674052294124,-0.101288070176165,0.213979883533881,0.10425303722931,-0.95118210120374,-1.34242229775735,-1.00687254765344,-1.1774656841943,-0.266450628070983,0.0289091952689131,-0.915967501514218,-0.490872385919921,-0.160592304166596,-0.0346996381204185,-0.340495435591798,-0.42700854326072,-0.260211641834028,-0.27223002576027,-0.115419942977878,-0.492579089259288,-0.00800778033949068,-0.0555737056855174,-0.249103275588238,-0.807196715668369,-0.688077627902736,0.199947784850843,0.216998087987577,-0.992203568298245,-1.04824293651401,0.123895354530155,-0.00944277408325134,-1.14891866790658,-0.0592241365904865,0.0826706571908871,0.0230842180230704,-0.126058608518854,0.416226467691526,0.108680446843052,-0.395707213265811,-0.484220730619482,-0.3861437819828,-0.845246565512903,-0.889311659052804,-0.944198711503445,-0.190487871282092,-0.326355426404627,-0.619868155071128,0.0686497879684941,0.31516813222227,-0.205765975561561,-1.7121372671144,0.139549378249673,0.051432408168904,-1.61524374976629,-0.550352385235169,-0.575429405770894,-0.0206476615187506,-1.7791470344168,0.671768462137794,0.21493815666527,0.770006491788415,-0.903814242206297,0.510398128465706,0.130493123170709,-0.433717366445142,0.0191937599152604,-0.749855339080318,-1.53334243309404,-1.70636293932297,-1.31130319148178,0.0911465214267604,0.52324205471111,-0.599295395050706,-0.490982711357263,-1.05499674325883,-0.538775752070333,0.0902883899222677,-0.53341982455407,-0.364893435421437,-1.67429394013482,-0.433185949938463
"Abcb1a",-2.62762873813207,-2.25170112236902,-2.57394022286025,-2.41514401305252,-1.68456295814662,-1.64891091344382,-3.20991601674209,-2.48003871037525,-1.7779819382804,-1.44958453559565,-2.62536028172139,-2.21140529677928,0.215040228462817,-0.229215183585106,-0.683397967834246,-0.89553211817183,-0.558129326256302,-0.425037100442451,-0.768859860075551,-0.883939945589298,-0.333179079944673,-1.54408023176109,-1.37092951643633,-2.32171391140604,-2.7707776313299,-1.19486567537102,-1.52845814863357,-2.76111994340249,-2.66305496456547,-1.21268041322988,-1.21251713721304,-2.47107524777459,-2.61229758360473,-1.97255218405598,-1.36098295379647,-1.37360408324911,-1.86454952299986,-1.69046870363989,-0.609432531102457,-0.835853195102766,-0.693529028034615,-1.23204981673476,-1.43088069792144,-1.40921160688139,-0.558446658111012,-0.328259198218091,-0.598311925325182,-1.96176888063349,-2.06949008508504,-1.88748963180028,-1.42894736465941,-1.35954771919927,-1.33244700948052,-1.76283005275109,-1.39105023138158,-1.24700621584474,-2.34764715581259,-3.04400155815644,-1.80375253669385,-2.49746465137137,-2.65253468136662,-2.68016574340674,-1.42098578308154,-1.51396077012558,-2.16793483652651,-1.62062093274325,-1.90198233516273,-0.842881640641714,-1.26270955962258,-2.80391732465455,-1.73077268591695,-1.82118088255368,-2.60030186038213,-1.55610710705408,-0.877100974394831,-1.72130371930855,-2.61802448596429,-1.2383816824326,-3.17112611179647,-0.151406059304964,-1.5264717384147
"Abcg1",0.425700338181673,0.335518243620729,0.434632824336387,0.289743077163708,-0.62182510840626,-0.741476692434127,0.814394172507506,0.676263586425356,0.423833062716424,0.306266151067751,0.80538371784982,0.657265517139067,-0.858975679072754,-1.31396960102282,-0.160415652140322,-0.169061589682147,0.385422592279094,0.0604400515250929,-0.631750237186961,-0.699055810172329,-0.171768666485353,0.373426726082623,-0.0978491004708776,0.453742838012276,0.464587319221158,0.620653085765295,0.519306621879803,0.389276246786361,0.432509562973868,0.61097456660851,0.554904391012302,0.519624651732258,0.329873162175962,0.25696629791846,0.308802729106276,0.319875722941579,0.460489790902805,0.295021308862519,-0.437497836925887,-0.2078954504711,-0.270271709709072,0.0963147642549722,-0.00510043881661108,0.119374186052798,-0.593128444385679,-0.563945479820805,-0.531498280807475,-0.31030260742852,-0.344585741350928,0.0114979823778567,-0.651310939424183,-0.945214197030248,-0.759162079903935,0.736710566357353,-1.07888892188734,-0.194219621285171,1.10508312245314,-0.229344039362006,-0.105906236925913,-0.0177163233961266,1.04732883403408,0.15928949202282,0.248427557208215,0.666994068462952,-0.130757421512903,0.345704911021862,-1.08800980496638,-0.688382895829166,0.00266739281816525,0.770587820233782,-0.514348177606239,0.414462095695464,-1.32714160171857,-0.330297575392556,-0.188232280347181,-0.284899234886222,0.426224392861146,-0.0805859462615978,-0.172218407307479,-0.214845891302349,-0.120870055025659
"Abhd14a",-2.07134039008994,-2.04414317529469,-1.8706260359728,-2.12031484475793,-1.22777674529979,-1.76692427752841,-1.91274466509938,-2.1236365417543,-1.67383885046144,-1.96132529398581,-1.86193857684458,-1.59754279671213,-2.48908108433625,-2.3361088429195,-1.56181384439352,-1.48846860578058,-1.1005591824379,-1.12204358335415,-2.15020110610333,-2.16566882764085,-1.51662703906229,-1.46314961604216,-1.98397489622294,-1.60973193754171,-2.35420265621696,-2.00079118696136,-2.02102969864168,-1.49359065767828,-1.81390477884455,-1.58120394272809,-1.82219296050134,-1.70279213968267,-1.24278450170849,-1.65809076804707,-2.02375082720368,-2.16241727693914,-1.8049016276272,-2.34751238630895,-1.7399293686431,-1.9423826834243,-2.1076798184434,-1.37573540662138,-1.55165879951144,-1.24565711911053,-2.01480512083746,-1.90861363147623,-1.74788908938405,-2.03535701750758,-1.86536744592929,-2.37875697115002,-0.755019918819771,-2.33721288345938,-2.1973939530893,-2.23816175613007,-2.43766998835943,-1.06573124678732,-1.45136860457303,-2.42619452640664,-1.36932296414816,-1.16992056688221,-2.34272960077293,-1.07780666161848,-1.37622509137055,-2.40224164252913,-1.3349298087271,-1.12379810608241,-1.35801246300192,-2.14420310547813,-2.3426953148945,-1.34240573496416,-1.42547457747089,-1.43094505518568,-1.39673999885824,-0.981997510837416,-1.53722449707687,-2.65388825029976,-1.4851060237025,-2.64224500551866,-1.9062698100826,-1.84025688206739,-1.66390053094835
"Abhd16a",-0.783306234738735,-0.822896309785946,-1.00372463059349,-0.837291837996258,-1.12840883566651,-1.27302862077473,-0.836077800133173,-0.921720541066335,-0.49930349472751,-0.516405960008515,-1.06817684094552,-0.525759114103916,-0.749321159438491,-0.669985712325748,-0.665041896003411,-0.67198502649088,-0.488369694035054,-0.462834302832328,-0.779220288957346,-0.882533125120735,-0.162394079249605,-1.03617537150182,-0.342339301175422,-0.489057647586819,-0.425362369252993,-0.34814062463027,-0.77327065921712,-0.436857088662184,-0.743999995773746,-0.76059784057823,-0.70322822889585,-0.449489770270756,-0.00196126510448524,0.0939551332201956,-0.818112015517806,-1.1608562605661,-1.13614994464479,-1.28694646145728,0.705438588904273,0.625227491121651,0.859753247740642,0.501624756563968,0.544760705201605,0.472481391920505,0.38157306322976,0.362973000319771,0.47064029029898,-0.123080473424024,-0.271207461550457,-0.198609767197941,-1.08506725101251,-0.678372359289219,0.222274868126445,-1.60879599264938,0.0759583315925812,-0.0322182460316773,-1.38382459689373,-0.525850604063467,0.0569458341840263,0.148205334298345,-0.422413027027414,-0.783984417067165,-0.242559846188511,-0.291254320502361,-0.010350392909502,-0.430155978685853,-0.37913173577481,-1.52989557875896,0.0803442149518054,-0.844009062689833,-0.335290818612908,-0.278228233706389,-0.249037835424068,-0.176826743361391,-0.463987232819703,-0.0318249522208955,-0.361897796173441,-2.05180998574151,0.233801982933325,-0.188856673434731,-0.117164136662309
"Ablim1",1.28624494531213,1.29924125897737,1.3039542173982,1.27429325363887,1.22043777314854,1.15629595239564,1.21015259161184,1.08762168480831,1.23988860257264,1.2246679999714,1.23344196779981,1.22261719629086,1.05525629355796,0.94812198522179,1.05406718442979,0.895544335170521,1.06734568580308,1.03044219970383,0.914614087063202,0.733883120171267,0.991768109333468,1.22597572147347,1.21316232752174,1.31858784979727,1.25005888919562,1.37392536322233,1.30972008334138,1.35668611543616,1.29248794930887,1.3094852371871,1.29738880209969,1.34562445129386,1.10911829947876,0.972296012543094,1.39567445563321,1.32001842202907,1.23705548804821,1.21819418037049,1.10752019322285,1.00599225357824,1.10684383635321,0.991782035042949,0.950912995723905,0.975139072719765,1.11583389687687,1.12118087180221,1.08297394835541,1.34575950666685,1.2611128557095,0.665692591124493,0.532335292043224,-0.185936238556207,-0.236914997930175,0.0292990814159288,-0.00339367365065307,-0.361807662912685,0.180387634997616,-0.545543277337061,-0.0653314335525328,0.0578425971687115,-0.669488382847756,0.169648440145919,-0.00841619037522469,0.0520523436501421,-0.309735562698367,0.0728949045157583,0.950562200646924,0.787938397583512,1.32617807770831,-1.59589629288982,1.70632909625257,-0.105619084714513,1.48135864866715,-0.921911126136301,-0.10817761022293,0.0759427377112979,-0.507979341413497,-0.283665708313672,1.20327279569165,-1.2405071255524,-0.268995774632026
"Abtb1",-0.939125773419762,-0.958229462057112,-0.864999903519074,-1.02743840578714,-1.53498658780342,-1.63911392475387,-0.722310673262356,-0.666302291693778,-0.61322012595673,-1.02263249519185,-0.922206815242024,-0.981918986421831,-0.600892752722876,-0.661392037424299,-0.603431404509102,-0.646541393353911,-1.19728378291795,-1.20212712562556,-0.609141347256144,-0.978741659474557,-1.60964899263695,-0.85118248728529,-0.581123008096481,-0.961261585418876,-0.932588944463234,-0.731906132375387,-0.68825992669956,-0.632995611216089,-0.82436113527434,-0.977909992700158,-1.02289045985799,-0.529564696622122,-1.46696344142442,-0.615592418166411,-0.772634853879547,-0.673008442485975,-0.490374184473973,-0.768888816027682,-0.524696853050526,-0.436858274536695,-0.416668696052054,-0.266135306047704,-0.342948426491415,-0.531759379668019,-0.560811622563573,-0.239950299249059,-0.408091346845643,-0.57845368788215,-0.236248509827603,-1.50594915601088,-0.208828699172668,-1.46662594226103,-1.33428148626625,-1.37286991417978,-0.208150607986152,-1.58240708836124,-0.127051208902774,-0.671879652902325,-0.232231835269003,-0.123132528397425,-1.4718477455591,-1.22422112185907,-1.56269806040445,-0.443666146422414,-0.176667885398738,0.0905963941943098,-1.04926002490763,-1.2839341279195,-0.00263958572725498,-1.65933817820759,-0.293581478682437,-0.320304798230008,-1.76213304828541,-0.640543198843197,-0.251174219417029,-0.239744843242149,-1.41344120123233,-1.28374718442995,-0.738813251792442,-1.29885373837393,-0.472079087595235
"Acaa2",-0.452442814252099,-0.370561616104374,-0.228533109961266,-0.322481479453054,-0.726649539928203,-0.596386759659384,0.268791559247083,0.159357525179297,0.203348006029908,0.0749410769071097,0.47868057900915,0.372397408375678,-0.0904789118894673,-0.164024889052991,-0.114578421308366,-0.132629749585795,-0.653240135311501,-0.536971198612217,-0.0134974883592224,0.0426607022106477,-0.836687145956153,-0.226377947267711,0.209227676089283,-0.699871444674826,-0.422610601559759,-0.685224084326832,-0.82835089396265,-0.766273087756048,-0.805746377299629,-0.973127293943779,-0.500480484690877,-0.85635634560611,-0.413602732485662,-0.144424537283166,-0.985680088692118,-0.833358967372111,-0.331033353071852,-0.760054332074194,-0.410169407451691,-0.452797929894335,-0.415552301727927,0.246028471360682,0.128851846788443,0.0357523708593773,-0.410198933827241,-0.454683147648477,-0.43246634861705,-0.105466297106729,-0.302144426209048,-0.0345551043172685,-1.61689902653529,-0.41263962730147,-0.0340881166661741,-1.51892937652238,-1.09130842954826,-1.64336440711351,0.263780674642605,0.0157396549383314,-0.451728183758942,-0.611108860116965,0.114416900487131,-0.704392222439456,-0.368768873294213,-1.15832021316354,-0.067437234860945,-1.6132738016492,-0.0566278078185637,0.22099518085846,-1.61106056707722,-0.857026648083106,-1.96692829457236,-0.129753030326595,-0.792854551486907,-0.279454582096906,-0.2375236342058,-1.21572358772536,-0.7232176689615,-0.655326435943277,-0.860143213006182,0.403519532809014,-1.26635825397255
